Gene Pearson Spearman Source
CD44 0.956933090398294 0.939017504234895 Isoform_MR
CCL3/L1 0.691824222940846 0.719932241671372 Isoform_MR
RORC 0.946316378268836 0.928853754940711 Isoform_MR
CD36 0.992502511873288 0.9785431959345 Isoform_MR
FCGR2B 0.980346899798553 0.984189723320158 Isoform_MR
SREBF1 0.78246176266889 0.748164878599661 Isoform_MR
CXCR4 0.994482416071642 0.961603613777527 Isoform_MR
MXI1 0.792807242160384 0.669113495200452 Isoform_MR
MAGEA4 0.994312508409787 0.420019833861647 Isoform_MR
HDAC5 0.935727013850572 0.941276115189159 Isoform_MR
PCK2 0.901910341798901 0.905958804835964 Isoform_MR
FANCA 0.811094369360642 0.745906267645398 Isoform_MR
PUM1 0.57733522202651 0.564088085827216 Isoform_MR
CD276 0.935436250472397 0.878035008469791 Isoform_MR
TGFBR2 0.848290237891982 0.869000564652739 Isoform_MR
CD74 0.967548427517962 0.876905702992659 Isoform_MR
RUNX3 0.982203701294196 0.940146809712027 Isoform_MR
IFIT3 0.896667840186019 0.911914172783738 Isoform_MR
RNLS 0.44488914026974 0.52343308865048 Isoform_MR
OAS1 0.983320354634434 0.966120835686053 Isoform_MR
LY9 0.991604651052004 0.841897233201581 Isoform_MR
RRM2 0.914161721870643 0.902879728966685 Isoform_MR
EIF2B4 0.489821615653995 0.496329757199322 Isoform_MR
CTLA4 0.968985722052308 0.885940146809712 Isoform_MR
ANGPTL4 0.974277298135026 0.90626764539808 Isoform_MR
CD79B 0.995770335673146 0.671372106154715 Isoform_MR
SIRPA 0.859745953860827 0.782044042913608 Isoform_MR
HEY1 0.998676894665444 0.786561264822134 Isoform_MR
NECTIN2 0.927263838796326 0.867871259175607 Isoform_MR
SMAP1 0.874158804806134 0.822699040090344 Isoform_MR
TBXAS1 0.94042248353093 0.952569169960474 Isoform_MR
TNFRSF1A 0.939349349676241 0.929983060417843 Isoform_MR
TNFRSF1B 0.934347750156299 0.883681535855449 Isoform_MR
TYMS 0.499042063616634 0.516657255787691 Isoform_MR
NFKB2 0.940914333720809 0.850931677018633 Isoform_MR
VCAM1 0.973454975986874 0.983060417843026 Isoform_MR
ZAP70 0.995060631425756 0.909655561829475 Isoform_MR
NLRP3 0.872864927434506 0.87012987012987 Isoform_MR
PRF1 0.875452221281835 0.843026538678713 Isoform_MR
BTLA 0.977843602776742 0.254658385093168 Isoform_MR
ABCF1 0.834226210530324 0.732354601919819 Isoform_MR
ENTPD1 0.90754256118263 0.92094861660079 Isoform_MR
CTNNB1 0.957754217126325 0.88481084133258 Isoform_MR
HLA-F 0.80696540131874 0.736871823828345 Isoform_MR
GNG4 0.933210714923604 0.852301643701665 Isoform_MR
TCL1A 0.997921231920019 0.738477391844583 Isoform_MR
EIF5AL1 -0.11324475359212 0.0231507622811971 Isoform_MR
IKBKG 0.678848980869581 0.654432523997741 Isoform_MR
SBNO2 0.953198528599637 0.89158667419537 Isoform_MR
CXCL16 0.901022990508067 0.881422924901186 Isoform_MR
CCNA1 0.913192779266433 0.951439864483343 Isoform_MR
TYMP 0.935800147495846 0.887069452286844 Isoform_MR
MFGE8 0.922776050474049 0.929983060417843 Isoform_MR
SH2D1A 0.979497071272951 0.969508752117448 Isoform_MR
FAM124B 0.812606302957104 0.841897233201581 Isoform_MR
CCR2 0.966277522817591 0.889328063241107 Isoform_MR
ADM 0.996169702730025 0.91304347826087 Isoform_MR
VCAN 0.987057947722841 0.992094861660079 Isoform_MR
APC 0.858425005438194 0.839638622247318 Isoform_MR
FBP1 0.971271101429987 0.907396950875212 Isoform_MR
SERPINA1 0.944222630349954 0.94240542066629 Isoform_MR
ZEB1 0.871377600601054 0.850931677018633 Isoform_MR
CCL20 0.915472924259083 0.55957086391869 Isoform_MR
PSMB5 0.861457892298044 0.732354601919819 Isoform_MR
DNMT1 0.757269964988349 0.854319593450028 Isoform_MR
CBLC 0.918287030939294 0.929116105957083 Isoform_MR
TGFBR1 0.861769139433854 0.803500846979108 Isoform_MR
SIRPB2 0.94099897664443 0.887069452286844 Isoform_MR
LDHA 0.89280952051893 0.896103896103896 Isoform_MR
TGFB2 0.881798177601094 0.824957651044607 Isoform_MR
EIF2AK2 0.435473465174341 0.391304347826087 Isoform_MR
PVR 0.9800277939546 0.905138339920948 Isoform_MR
CCND3 0.867633538106765 0.821569734613213 Isoform_MR
FGF13 0.864949648144049 0.607001693958216 Isoform_MR
ITPK1 0.643189493731569 0.690570299265951 Isoform_MR
IL11RA 0.928639949618763 0.902879728966685 Isoform_MR
CXCR3 0.950724165918028 0.81253529079616 Isoform_MR
API5 0.514740297027416 0.509881422924901 Isoform_MR
CD58 0.707105263237156 0.712027103331451 Isoform_MR
MX1 0.970523946187303 0.940146809712027 Isoform_MR
ITGAV 0.948652656382117 0.939017504234895 Isoform_MR
SLC1A5 0.933042261494142 0.92094861660079 Isoform_MR
CDK6 0.959810129167689 0.858836815358554 Isoform_MR
NCR1 0.848892170163851 0.672501411631846 Isoform_MR
TNFSF13B 0.692582492803706 0.709768492377188 Isoform_MR
APH1B 0.813828785338129 0.78317334839074 Isoform_MR
RASGRF1 0.917508242219683 0.723320158102767 Isoform_MR
PROM1 0.972170174694797 0.935629587803501 Isoform_MR
SNCA 0.953321965787607 0.953698475437606 Isoform_MR
PARP9 0.812360622844096 0.847543760587239 Isoform_MR
SRP54 0.514817948452775 0.542631281761716 Isoform_MR
ANGPT2 0.895996400934778 0.759457933370977 Isoform_MR
FCRL2 0.999343028319957 0.753811405985319 Isoform_MR
OTOA 0.795006372407029 0.159796725014116 Isoform_MR
RPTOR 0.77943054454591 0.709768492377188 Isoform_MR
COL11A2 0.955257816755643 0.78317334839074 Isoform_MR
FLNB 0.900444722347569 0.802371541501976 Isoform_MR
BIRC3 0.982067969914929 0.928853754940711 Isoform_MR
HERC6 0.88820805538423 0.800112930547713 Isoform_MR
MAGEA12 0.228325066240556 0.341454181775853 Isoform_MR
CD244 0.830288013798328 0.726708074534161 Isoform_MR
BIRC5 0.961780068194247 0.865612648221344 Isoform_MR
CX3CR1 0.967470108628912 0.934500282326369 Isoform_MR
VEGFA 0.971659375412202 0.970638057594579 Isoform_MR
ZEB2 0.938524023573077 0.94240542066629 Isoform_MR
ARG2 0.946626264913089 0.782044042913608 Isoform_MR
TBP 0.586651501539847 0.577639751552795 Isoform_MR
HCK 0.979310375374605 0.953698475437606 Isoform_MR
LILRA3 NA NA Isoform_MR
PPARGC1B 0.844971791969304 0.821569734613213 Isoform_MR
IL34 0.519854767046027 0.604743083003953 Isoform_MR
FGFR1 0.964989632740273 0.950310559006211 Isoform_MR
LDHB 0.892610952259484 0.844155844155844 Isoform_MR
CD14 0.93781724783324 0.937888198757764 Isoform_MR
EGF 0.771236010159739 0.42970073404856 Isoform_MR
CD84 0.985005315627683 0.986448334274421 Isoform_MR
IL24 0.121159996100128 0.577639751552795 Isoform_MR
CES3 0.664547719487739 0.608130999435347 Isoform_MR
IKBKB 0.896944819979899 0.719932241671372 Isoform_MR
TRAF1 0.978435223540439 0.919819311123659 Isoform_MR
BCL2L1 0.874881867904281 0.832862789384528 Isoform_MR
TNFRSF17 0.962203834301748 0.76171654432524 Isoform_MR
RASAL1 0.833512074835699 0.79785431959345 Isoform_MR
LY96 0.937406655961838 0.915302089215133 Isoform_MR
BID 0.795678071241097 0.837380011293055 Isoform_MR
IRF3 0.82541014403649 0.736871823828345 Isoform_MR
CRABP2 0.950591272641357 0.960474308300395 Isoform_MR
ANGPT1 0.937244767583017 0.892715979672501 Isoform_MR
BMP2 0.963162652122276 0.869000564652739 Isoform_MR
IFI16 0.819137440552347 0.863354037267081 Isoform_MR
PKM 0.975281070505849 0.932241671372106 Isoform_MR
CD86 0.969944158121727 0.931112365894974 Isoform_MR
SERPINH1 0.961943125836958 0.943534726143422 Isoform_MR
CASP1 0.952297952567748 0.915302089215133 Isoform_MR
CASP8 0.97143084975818 0.879164313946923 Isoform_MR
