PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
COMP,13.7886,18.4133,1.80913,6.47242,1.23871,6.35635,1.58995,1.62106,0.926357,1.66568,0.11329,0.969369,12.9923,52.3878,29.0224,74.5137,1.40393,96.8871,30.9822,3.04275,130.171,73.1665,3.53179,3.02205,14.6983,11.4341,3.01366,2.36182,0.742962,90.898,1.48188,22.2001,16.5849,29.7296,7.19546,25.5754,9.31108,2.19421,17.7345,20.5045
DDB2,7.05375,5.92379,4.28042,4.52307,4.09313,4.02737,2.4261,1.72231,3.75876,4.61564,2.86427,3.98485,2.54243,2.90067,4.36221,4.41746,2.52238,3.73175,2.31041,4.46564,5.24929,3.8606,3.79449,3.63187,3.085,4.7173,2.75369,2.75386,2.89045,4.021,6.18257,5.49317,4.67367,3.02108,5.16663,2.56465,3.47112,2.89169,4.95261,3.96978
ERCC3,7.82282,4.92879,7.67555,6.1796,7.66288,5.88129,8.50656,5.94572,5.54191,5.07916,5.55262,4.60663,6.54326,4.35283,4.93262,4.45397,4.78913,3.94826,6.17546,7.38483,5.99558,5.01792,9.01051,6.33814,4.90103,5.04044,7.04628,5.73638,10.8078,6.41518,7.15197,6.09083,5.87815,4.32905,5.94861,5.0734,5.75603,5.7224,4.98515,4.60489
ESR1,6.36402,5.17257,5.30573,2.98273,2.88785,2.52239,4.22865,1.99857,0.423665,0.3263,3.26593,1.90629,6.18424,4.52072,0.391684,0.755168,11.7834,3.83953,3.84751,5.00586,2.68258,1.63543,3.80007,2.48409,5.86446,2.39655,16.9601,19.8667,12.495,3.87338,8.31541,3.82738,2.68428,3.07362,0.622147,1.20214,2.83218,7.84078,0.684638,1.489
MS4A2,0.108466,1.13401,0,0.355516,0.014332,0.163242,0.0153299,0.0432827,0.0702824,1.12098,0,0.0517649,0.0116229,0.163547,0.18795,0.42527,0.0056829,0.176989,0.536594,0.00945101,0.197239,0.386534,0,0.0297387,0.184863,0.306213,0.0119549,0.0177062,0.0198373,0.276492,0.00357199,0.269127,0.134762,0.298568,0.0282211,0.0831907,0,0.0664083,0,0.449622
GHR,0.475135,1.35364,0.551811,0.694691,0.186046,0.637685,0.240767,0.613886,0.324392,0.728314,0.0126041,1.16445,0.156467,0.403413,2.45058,2.08668,0.1694,1.1449,0.889937,0.339279,0.816361,2.43345,0.113804,0.807617,0.680122,0.420199,0.162852,0.606118,0.21364,0.656183,0.4946,1.51719,2.12967,0.964955,0.876126,1.26867,0.565716,0.683795,0.690097,7.29712
MSH6,25.0296,14.1695,15.8631,13.6164,14.7842,8.91652,29.7826,37.3466,16.7126,12.1791,28.5273,22.7085,25.2178,12.9172,18.3769,10.5944,16.3686,12.3374,21.368,19.2936,16.6483,16.4175,39.0444,39.4007,21.5355,16.1016,38.7037,31.4478,21.1786,14.2129,32.8208,23.0206,17.8427,14.5517,12.1122,13.1543,25.0382,20.5582,19.3214,18.0676
GUSB,5.35683,4.93123,7.96752,6.94901,5.62427,5.42204,6.16935,4.40727,8.53155,8.12264,6.65104,6.32086,5.87097,5.50363,10.4253,11.9183,7.74043,7.95708,14.1483,15.8031,5.90646,5.16914,8.42083,8.48749,7.81182,10.4171,26.1072,9.31857,5.77385,6.78777,11.4265,9.57237,6.03319,3.81445,5.95943,4.87416,3.77293,3.38577,7.39883,5.69202
HK1,9.3166,8.6648,17.2254,12.6903,7.33043,9.29274,10.6443,9.32367,9.20319,13.017,21.0379,10.9927,12.1281,18.947,10.2523,14.5617,16.1796,23.0781,9.24633,9.95205,11.6844,12.7179,18.4989,5.19451,12.9584,13.925,9.27974,14.009,10.3933,12.2749,9.57712,9.1107,9.77805,10.0768,14.2176,13.1395,9.6657,10.4882,12.5561,11.7663
HK2,3.15021,1.9467,16.2676,6.10342,5.57132,10.5775,6.24075,3.62021,2.72824,2.88547,17.3394,7.01664,7.33327,7.72458,5.68712,6.3523,5.95224,6.81012,4.43665,16.0042,4.19498,4.39522,11.9063,5.0239,8.11149,4.40689,8.32643,7.0124,9.41835,5.71658,8.85473,5.01742,4.39395,3.40825,7.6547,2.97156,12.8955,3.8808,8.50216,5.92296
