PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
TGFB2,10.5572,2.61014,2.11412,4.00479,1.23449,8.1909,2.08224,2.47349,6.24006,4.40513,3.23997,1.85349,5.78008,1.90028,0.783264,2.14769,5.38656,1.82714,2.04406,1.07498,5.2022,4.20137,2.67042,4.10604,8.73381,4.22336,1.29377,4.81784,8.3127,4.70338,4.37581,2.59319,3.48965,3.5123,0.887447,3.74883,1.39055,4.73008,2.04616,4.3166
EIF2AK2,18.089,8.18321,7.20406,6.96017,12.1371,5.96292,13.4314,12.6998,11.4191,10.5832,5.83388,9.75979,15.3721,5.30015,9.23087,4.96187,10.0135,12.2962,20.1545,6.51994,10.1786,9.01126,15.0923,11.0504,11.867,15.3294,18.1064,20.7408,11.2652,9.10237,13.9433,12.3016,8.12055,10.5995,4.98974,8.10317,6.46098,8.1627,12.722,8.95456
PVR,1.59768,1.51377,2.29846,2.07423,1.4132,1.69161,2.58931,1.8336,2.35625,1.67811,1.5821,2.54353,2.43645,3.17856,1.30906,2.83331,4.12383,2.95859,1.56413,3.86226,1.68492,1.45957,1.96252,1.68636,2.92358,1.09733,1.95594,2.90468,3.13257,1.9701,1.93587,1.52632,2.28958,1.64465,2.47648,1.7909,2.61786,1.79468,1.79274,1.32697
CCND3,1.32184,1.31416,4.19231,2.28527,1.37527,5.3768,1.27391,0.743446,0.922604,1.15514,0.706886,3.049,1.01716,2.98317,2.21062,2.69716,2.47576,3.94018,1.71573,2.0496,1.13231,1.56482,1.60592,1.37184,1.78317,2.83185,1.98001,3.29481,2.45178,2.30318,0.534709,1.50089,1.41235,1.41818,1.30915,0.860466,0.511063,1.0164,1.31624,2.58729
FGF13,0.414491,0.283698,0.375834,0.351438,0.0384787,0.0602626,0.01564,0.0406721,0.0218886,0.0704959,0.0344882,0.0849036,0.0199714,0.0297821,0.0756916,0.125488,0.0695743,0.136507,0.0835316,0.0669879,0.0764394,0.0814553,0.0185499,0.0946501,0.134655,0.106876,0.144435,0.241873,0.000852151,0.0796031,0.193337,0.12241,0.208906,0.124248,0.0909222,0.059247,0.0814711,0.0392247,0.139572,0.118556
ITPK1,10.5361,7.57269,17.5782,12.3796,7.69729,10.611,6.48353,5.74581,5.40786,6.17077,2.95995,6.55967,19.11,14.9611,8.56195,9.98007,5.37359,6.76273,5.97409,6.33592,8.23544,5.47291,7.53317,6.15729,11.7626,5.891,8.68302,6.52511,11.0503,9.78622,9.95583,8.16228,4.83888,3.53346,12.419,17.3476,8.60703,9.87757,8.68699,6.13611
IL11RA,1.25367,1.45447,3.2596,1.10778,1.06117,1.36721,7.92544,3.62226,1.13972,2.33276,2.54252,2.06607,0.315143,2.72517,1.65903,1.76153,2.26388,1.22489,1.55041,3.05042,3.42072,2.42998,1.30094,2.21601,1.28662,1.66153,4.87152,4.32447,0.955752,1.15642,5.46836,3.94573,0.794333,1.12868,0.769393,0.698608,0.637751,1.43269,1.76357,2.05853
CXCR3,1.2108,1.33033,0.455695,1.57787,0.925636,0.341672,0.467542,0.375312,0.168119,0.869659,1.05038,1.27201,0.33363,3.04466,4.43163,4.13562,0.380626,1.81855,0.435704,0.58779,1.27183,0.846104,1.11902,0.433286,1.55732,4.70388,0.950839,1.80429,1.11986,1.4072,0.324687,0.284015,2.15839,1.16056,0.626845,0.157103,0.407377,0.546054,0.69293,1.95867
API5,17.788,11.7419,18.8786,14.3812,16.2057,11.1383,14.3613,15.2326,17.8057,15.4932,12.0505,13.3214,35.1726,17.3746,11.0404,9.14616,10.283,12.4923,24.0763,14.3092,10.9471,13.3957,17.6854,17.9755,10.4411,17.7137,27.3705,21.314,13.8261,14.9235,23.2983,18.3366,13.8817,18.0547,14.2156,21.6694,12.1429,16.984,17.9492,14.8007
CD58,4.29896,4.53429,0.739852,5.17585,7.04006,3.93546,3.22452,4.09281,1.74592,4.96704,2.30714,7.67204,6.35496,8.43267,5.90743,6.3407,1.66711,6.62815,7.30065,3.53936,5.72723,8.85829,6.03739,2.85512,4.11369,11.1092,2.46984,4.0139,4.05127,7.3216,3.95958,6.20531,5.33933,3.60284,3.41218,4.0337,4.9863,4.08276,6.89997,10.6048
MX1,50.2653,14.0536,10.913,12.1208,27.0441,13.7709,16.9193,13.9115,35.0787,30.8955,3.22369,21.2204,13.3446,5.26936,14.2582,15.43,31.1401,50.8912,24.7615,2.58207,21.2879,10.9466,8.54347,12.7472,8.57377,29.297,17.2608,54.5692,15.7452,16.6226,26.5087,26.364,12.8425,6.97438,2.34046,7.5123,2.26498,1.97823,15.1671,12.3339
ITGAV,10.1725,17.2097,7.35187,18.5302,26.4735,23.8739,6.81964,9.73286,8.60092,9.32994,5.64113,11.3164,17.7568,29.5503,16.7509,23.9499,10.7867,21.4143,12.7211,9.81444,15.6826,18.9882,7.22618,12.4927,10.7877,12.5504,6.2332,7.15336,5.9011,17.8282,8.39224,13.4932,13.531,14.55,18.9135,17.6156,12.2102,12.3738,19.7392,12.6171
SLC1A5,9.82914,11.9702,32.2561,13.7702,24.3163,10.5969,6.21933,11.991,9.25397,13.2634,8.16948,30.6097,66.8544,29.3235,39.0273,41.7695,30.8989,26.9548,15.1354,26.6567,22.021,16.4367,25.8793,13.0136,34.9987,32.4263,17.5426,14.5845,31.3539,24.1418,13.083,10.9407,15.8132,11.3579,23.9656,30.0426,20.3334,14.2032,22.3754,16.6772
CDK6,0.921097,0.858691,2.86577,2.28593,0.670367,0.672741,0.930071,0.990636,0.522155,1.72989,2.44648,1.30103,0.318801,0.631618,1.20955,1.42225,0.684405,0.987869,0.659942,0.461807,1.34744,1.38174,0.984854,1.43398,0.756279,1.15244,0.776338,0.770624,2.20384,1.52169,1.13807,0.865576,1.16223,0.933279,1.1688,1.25504,1.39772,1.5531,1.23159,0.859224
NCR1,0.191406,0.337358,0.0332024,0.171328,0.286632,0.324074,0.13526,0.165488,0.0578781,0.368305,0.0308411,0.232521,0.287146,0.435,0.57647,1.11283,0.0935982,0.548934,0.150578,0.100067,0.100887,0.300296,0.705575,0.222637,0.652441,2.29654,0.00703209,0.399942,0.550762,0.0899701,0.0420223,0.111745,0.303292,0.146353,0.27509,0.164832,0.0364278,0.0781253,0.386844,0.937494
TNFSF13B,1.76355,1.55627,0.400659,1.50927,5.64996,1.76036,0.970957,0.551433,1.20753,2.86,0.329223,3.35745,2.88542,2.41754,4.08537,3.68052,0.877094,4.82604,4.07852,1.6926,2.72203,2.83526,1.006,0.999847,2.08897,8.20654,1.39688,3.69181,2.08541,3.17783,1.26383,3.12334,4.92249,1.80229,1.05662,1.51092,0.766448,0.495549,3.07788,2.67188
APH1B,0.721156,0.995515,0.479215,0.893784,0.926499,1.86595,0.878112,1.13338,0.330694,1.23959,1.26836,1.73287,1.11754,1.26848,1.3018,1.18384,0.327847,1.15205,1.58316,0.87778,1.1684,1.79933,1.88066,2.08397,1.1214,2.20035,1.27175,1.14753,0.415561,0.998885,1.95838,2.09863,0.958916,0.610794,0.86435,1.32567,0.563774,1.54195,1.29093,1.52255
RASGRF1,0.0466289,0.0994015,0.326003,0.699402,0.0562547,0.0411906,0.350715,2.86628,0.0898538,0.142702,0.0485097,0.715627,0.0364969,0.167463,0.438119,0.413632,0.12109,0.407799,0.123667,0.0678333,0.0980957,0.163578,0.48535,0.0642761,0.171262,0.639595,0.175631,0.09849,0.0462733,0.101599,0.10255,0.177539,0.107762,0.159045,0.106702,0.0667798,0.263913,0.0837837,0.0878015,0.373871
PROM1,0.159758,0.203049,6.31988,5.01456,0.0214671,0.22006,0.371983,0.213942,2.7434,3.87243,3.49869,5.24424,0.685926,0.157632,0.0120652,0.0809632,2.49235,2.53534,0.330343,0.0254811,0.210657,0.61611,0.129361,0.184655,0.792166,0.564726,2.38157,1.70584,1.30263,4.9803,0.556431,1.03861,0.445831,5.30688,0.231886,1.21721,0.292194,0.188992,0.60511,1.06878
SNCA,0.496467,0.882271,0.313165,0.342205,0.584435,0.684919,0.318944,0.582329,0.0506912,0.352988,0.472701,1.02346,0.606156,0.501029,0.283035,0.815879,0.145034,0.450803,0.262201,0.188766,0.333047,0.651449,0.582976,1.46094,0.37904,0.695486,0.484184,0.958779,0.162887,0.496103,0.939359,1.43166,0.273062,0.752317,0.384723,0.466407,0.163204,0.607924,0.555994,0.612481
PARP9,36.4642,18.3345,12.953,23.9082,35.3383,15.7864,33.1352,22.2292,35.5819,30.6103,14.3016,28.9192,26.2664,13.784,26.9589,19.883,31.3733,48.3341,34.1973,9.39338,31.7878,21.2498,19.2102,11.7154,18.5925,35.001,18.3472,41.9711,28.8316,25.8532,41.8033,39.9851,31.2941,17.8384,14.4329,22.397,21.4403,14.0871,23.5648,22.5332
SRP54,12.316,11.2553,7.29491,11.5455,12.1561,9.72186,10.7064,14.4104,12.937,12.8961,11.4319,13.7102,17.3357,12.9509,26.5576,14.6136,12.1986,16.2727,19.7187,12.5109,12.6487,17.6233,17.5952,13.618,12.6898,22.0258,20.1126,15.4171,9.53957,12.8426,22.6681,21.3178,13.9344,14.0262,14.3635,19.5167,14.0018,14.9862,14.9429,14.6295
ANGPT2,2.24024,2.71644,1.25704,1.87822,4.17398,1.84117,1.96524,2.25148,2.34952,2.34696,0.807872,2.2708,5.38696,1.53331,5.26019,3.07538,3.42034,2.39057,2.64736,3.4701,4.4651,2.87197,2.62439,1.61916,1.65125,3.18007,4.3914,2.01378,2.39961,2.18898,2.56198,2.44578,6.89497,2.48626,6.94414,2.60214,4.74816,3.90466,2.3908,4.21996
FCRL2,0.00397973,0.0267823,0.0124263,0.0603493,0.0220859,0.0224607,0.0438727,0.100049,0,0,0.0577127,0.339803,0.0614096,1.01125,1.8915,0.675476,0,0.262117,0.0780303,0,0.151031,0.443131,0.0295756,0.0214261,0.559141,2.67119,0,0.336784,0.00698737,0.295278,0.00629088,0.348514,0.712015,0.246482,0.0745534,0.111813,0,0.00730977,0,1.85733
OTOA,0.0721009,0.0975564,0.0250141,0.0278399,0.0211709,0,0.129077,0.265336,0.0747504,0.0447539,0.0638967,0.0444894,0.0171691,0.168062,0.192362,0.232493,0.0235051,0.0903172,0.0203616,0.0279217,0.0329361,0.06033,0.0609532,0.0718846,0.0356187,0.217685,0.0900636,0.102529,0.0703279,0.175538,0.046433,0.0561247,0.0969373,0.0808571,0.0357324,0.046568,0.123498,0.191289,0.0254433,0.107996
RPTOR,7.21786,4.25476,4.60928,4.48151,6.30012,5.56672,5.44141,4.43965,7.07389,5.52107,5.76342,5.09048,2.20852,3.35405,5.87821,6.03482,5.91022,3.59643,3.30324,5.7389,4.98673,3.96662,4.52219,4.45565,6.34356,4.51778,4.83911,5.14274,9.0225,6.56959,4.08938,3.70626,5.78833,4.21136,6.7525,5.20764,3.47734,3.98726,3.91633,3.71556
COL11A2,0.719764,0.577118,0.484913,1.10675,0.852391,0.728157,0.671144,0.425462,0.898707,2.12223,4.24007,0.861415,0.0652864,0.387668,0.332687,0.451752,0.409342,0.385435,0.904388,1.45833,1.47059,0.978358,1.77083,0.693188,1.77934,0.38574,9.64805,0.973508,1.08543,0.631726,2.69803,1.99817,0.940882,4.53385,1.40936,0.784117,0.317165,0.312678,1.2029,0.983167
FLNB,12.7425,12.79,42.5869,36.7406,30.8821,26.7795,16.5927,18.8746,22.9596,23.809,24.5003,24.4739,26.207,32.8381,18.8906,27.0814,20.416,18.8073,29.4936,36.8963,21.8479,17.946,21.5068,24.4152,12.6716,8.81015,17.7655,10.9319,26.48,23.2667,34.198,19.3916,14.6234,11.529,32.2685,26.3004,34.254,35.2583,19.1289,12.4853
BIRC3,4.16352,9.93346,22.9154,6.61561,18.3191,41.8248,2.37271,2.26616,0.678707,4.31678,2.0249,10.7309,27.5264,22.3275,16.9789,21.0436,4.16473,11.3793,16.5718,4.94689,7.98667,23.453,5.26729,1.41589,4.7118,33.8905,0.865848,6.56671,8.88019,8.09274,2.9775,7.5032,11.4239,5.41341,1.60985,2.06482,7.98912,13.6964,2.11509,16.3702
HERC6,12.1097,4.04213,3.97641,3.86301,9.3829,4.36539,5.13009,5.98177,5.58475,5.14797,2.36583,7.17845,3.89625,1.94085,4.42037,3.98479,3.82318,7.44416,14.7539,1.82026,6.66926,4.55878,6.06658,5.63307,2.32667,5.6909,9.76838,21.1119,5.92696,4.70624,9.75231,10.8816,4.78421,1.86515,1.39798,3.1072,2.18432,2.28168,5.44167,5.80938
MAGEA12,0,0.0590904,0.27188,0,0,0,0,0,0,0.0228909,0,0,0,0.0161177,0.015215,0,0,0,0,0,0,0,0.141382,1.92418,1.96759,2.79802,0.0135489,13.9265,0,0,0.809651,0,0,0.253783,0.456914,0.019849,0,0,0,0
CD244,0.0905792,0.0870811,0.0217557,0.21792,0.198862,0.110106,0.153623,0.0333647,0.021671,0.311393,0.0151563,0.370011,0.20607,0.115109,0.600226,0.312503,0.0788524,0.142634,0.113845,0.0874243,0.343749,0.112438,0.203423,0.195898,0.216852,0.76715,0.0645083,0.272978,0.16515,0.208601,0.0715907,0.231865,0.22583,0.0767175,0.0559399,0.121506,0.0477382,0.102382,0.205196,0.355047
BIRC5,3.99424,0.26885,1.67221,0.490075,4.911,0.649177,2.19693,0.391626,5.11199,0.542362,2.86555,1.00542,13.5086,0.36943,3.06811,0.997643,3.66571,1.03317,0.488533,2.23439,2.84841,1.13671,4.82586,1.1931,3.98811,0.620044,3.52072,2.4641,2.04734,0.477338,5.53397,2.74467,2.45578,0.196074,2.0569,0.352717,3.04571,0.0969143,3.5831,0.62309
CX3CR1,0.512187,1.60429,0.404111,1.3258,0.38423,0.44137,0.826639,0.395583,0.205552,0.246132,0.0598997,6.49733,0.594875,0.489584,0.621671,1.13334,1.27424,0.588216,3.22749,0.927122,2.7014,0.670998,0.33035,4.6288,0.318324,0.629696,0.593657,0.28913,2.49474,4.06831,0.261171,0.414773,2.28482,0.325936,0.422511,0.528226,1.33954,0.677751,0.925447,0.882004
VEGFA,3.4579,8.33974,18.201,6.64574,8.58368,16.7713,9.78817,2.39457,5.45229,4.02087,37.3926,3.21714,14.168,13.077,7.38891,16.7063,39.1882,10.9016,3.32901,58.4677,3.22511,7.12987,16.0526,1.73225,11.3158,7.78674,14.5764,9.12961,11.7983,9.92995,16.3308,5.14995,11.7184,5.04523,16.5208,5.79334,20.9344,4.64882,14.0659,11.1367
ZEB2,7.14309,19.434,1.01083,14.0165,17.7196,11.0324,6.4511,13.6356,4.53229,19.0708,1.73693,20.3687,10.2016,15.7459,16.7748,20.1411,3.08542,15.8934,8.24192,7.77287,12.7111,18.7799,5.28505,18.079,8.08689,28.0707,6.1682,8.46859,3.48654,14.658,5.10216,20.0914,32.8622,10.6405,15.8943,12.6631,16.0011,10.7128,21.2786,35.0079
ARG2,14.3127,13.4889,9.13613,11.8443,13.0799,10.0475,10.3137,21.8503,18.2834,16.8382,10.0392,20.024,12.8854,9.62342,8.87499,10.7501,9.3755,13.2096,17.5681,12.2377,12.2247,12.7359,13.6326,15.0624,10.0235,14.1075,16.2026,9.69565,13.4235,14.7989,17.7834,18.8936,11.266,9.37638,12.4533,17.0853,13.9636,13.7596,13.55,13.6795
TBP,5.50565,5.93587,3.14532,4.46084,7.07743,5.57738,3.12236,4.19993,10.3851,9.12033,7.31667,6.74556,6.51012,4.0648,6.71984,4.53633,4.54801,5.61134,4.67287,4.19495,5.23997,4.88372,7.20492,7.02332,5.93821,6.224,14.8508,23.6522,5.0467,4.41411,6.89784,6.57051,5.87687,4.31465,5.65505,5.13202,4.64082,4.03543,6.73204,7.16439
HCK,1.81634,2.73508,0.914731,5.06564,7.0503,2.35148,1.17038,0.545548,0.880799,3.84053,0.6703,4.29776,4.39495,4.28669,5.18758,8.36454,1.14197,4.92518,1.86503,1.69496,3.02033,3.0834,1.66568,1.72522,2.72083,9.33197,1.50252,2.78012,2.33176,5.97427,1.22976,2.80495,4.84464,1.69346,3.29864,1.33081,1.48308,1.69798,4.88333,4.50214
LILRA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPARGC1B,6.64215,2.67707,6.99035,3.2845,2.8812,2.59137,1.28464,0.792722,2.74567,1.53379,1.42343,1.95794,0.917763,0.715056,5.38498,2.76338,3.57905,1.1426,1.09556,1.8028,1.175,0.627541,0.733682,0.832411,4.09681,1.37397,1.67004,1.00958,4.20766,1.24719,1.91326,0.981983,2.09763,1.10483,1.88079,0.806454,1.97152,2.01373,1.3514,0.860242
IL34,0.901455,0.606649,0.379984,0.486987,0.307309,0.111927,0.451017,0.388497,0.455608,0.664739,0.326815,0.431779,0.370933,0.581515,0.595807,1.83128,0.379731,1.53245,0.579339,0.320471,0.718416,0.74917,0.162695,0.188738,0.376749,0.839824,0.0834592,0.18365,1.40862,1.32594,0.356239,0.347346,0.175304,0.124069,0.209079,0.279468,0.138966,0.19869,0.109314,0.678089
FGFR1,7.36569,11.3202,18.3421,9.35289,1.37773,6.23266,28.5904,23.1923,7.86892,14.8798,3.409,7.26682,5.4678,13.2673,3.57897,11.3962,20.9175,16.0082,5.9418,3.41971,6.6557,9.07011,7.51332,13.9875,6.04412,4.42314,40.5113,26.9419,4.3201,8.22577,32.6767,25.0778,5.30535,7.05524,7.61104,11.464,4.90207,9.56907,10.9511,12.1776
LDHB,59.41,24.8729,74.6514,33.5958,119.537,62.5271,47.9764,46.0706,38.5657,29.5021,119.167,64.7563,69.8863,27.9712,71.9022,37.8972,19.1131,26.0783,73.7622,59.6002,44.4124,36.3982,102.163,59.0246,86.7497,50.0865,108.783,76.4735,73.6048,54.1302,64.5933,54.8986,46.5947,55.6135,313.481,398.715,45.9564,44.5397,47.5198,38.5722
CD14,8.257,10.3102,5.47287,21.9604,25.1291,15.7587,9.405,2.82211,4.15991,20.9892,5.62389,29.6722,17.2927,10.2528,20.8629,31.0221,11.1506,24.265,11.2161,13.8443,15.6793,12.1419,6.32815,15.2491,13.7723,35.0175,11.7205,16.8829,10.3796,28.1497,6.11093,16.3015,36.4691,5.56445,27.7632,10.2242,10.691,8.17754,28.6291,12.8335
EGF,0.0872208,0.134672,0.0949054,0.247993,0.0859119,0.0626504,0.107583,0.104415,0.0287719,0.0915442,0.254886,0.445842,0.0475811,0.0145548,0.149173,0.21849,0.0731166,0.119974,0.374271,0.113307,0.0526596,0.0746402,0.853023,0.167594,0.122214,0.156695,0.171291,0.18639,0.0626469,0.0567666,0.340503,0.226829,0.0925179,0.0873044,0.353664,0.45835,0.0407445,0.0461189,0.132782,0.0406181
CD84,0.796045,1.35078,0.142614,1.46563,2.61408,1.1244,0.53303,0.411391,0.438016,2.22595,0.211324,2.4912,1.36762,2.3869,2.86861,2.59558,0.374683,2.32299,0.933447,0.270626,1.30621,2.63237,0.535705,0.611506,0.994099,7.49725,0.71485,1.52018,0.658727,2.06531,0.422882,1.94278,2.20787,0.981859,0.80519,0.870252,0.640775,0.938802,2.23997,2.72325
IL24,0.0508577,0.215132,0.174678,0.173523,0.072576,0.470727,0.120757,0.0852367,0.0474539,0.295477,0.0958778,0.391876,0.614732,0.95222,0.906442,0.313079,0.0575555,0.398336,0.0886368,0.0531768,0.193005,0.311867,0.0863889,0.0121692,0.0723581,1.92753,0.0067265,0.183311,0.0178586,0.205221,0.0723531,0.195964,0.751654,0.265986,0.326651,0.20694,0.0348448,0.158802,0.0704825,1.21761
CES3,3.73752,1.0485,1.83021,0.32132,0.310883,0.50717,0.630421,0.444984,0.311259,0.109531,0.0236941,0.374287,1.72281,1.78344,0.121337,0.215532,2.48853,1.10885,0.525026,0.316053,1.0231,0.827246,0.197312,0.249235,1.71804,1.24975,0.683416,0.0416082,2.26984,1.18569,0.655369,0.500791,0.391877,0.865768,2.10977,1.8916,0.00699653,0.0187565,0.176904,0.221359
IKBKB,5.12325,4.80317,11.0988,9.4227,11.9211,10.4197,5.35284,4.8341,7.60664,6.9926,5.24043,5.674,5.62078,6.52247,7.68116,7.01733,7.68288,5.98797,6.92067,8.21038,8.15666,6.68249,6.2062,3.55213,5.04774,5.99258,10.9279,6.91187,9.65691,6.04995,8.49477,7.02542,6.48186,5.23974,7.7092,7.28298,10.5176,13.0084,6.02127,6.4135
TRAF1,1.42561,2.01476,1.46037,2.57441,3.13397,4.01022,2.33014,2.04044,1.19592,2.19075,0.929342,3.03443,0.751774,4.56036,4.83262,7.8664,1.54381,2.93798,1.43042,2.56744,2.2059,2.34046,2.2607,1.44465,3.17122,7.70817,0.458,1.67735,2.56223,2.8128,0.789084,1.76436,2.49541,1.54121,1.11527,1.05438,1.84873,1.25556,1.58541,3.28466
BCL2L1,65.7094,30.9552,40.3684,41.7078,45.6223,61.2801,42.2574,26.7808,28.8904,35.9886,31.7147,23.9706,25.0875,29.5306,43.0915,50.0784,44.5627,41.087,30.1969,30.9804,19.8701,16.5456,23.4695,21.6848,39.9203,36.6343,22.0122,39.4651,59.7532,56.8476,38.4011,34.0535,26.3095,19.6875,25.9435,23.6032,31.3681,32.8003,26.2586,18.7576
TNFRSF17,0.555296,0.972372,1.23847,0.958595,0.141505,0.134313,0.184994,0.332381,0.123365,0.598265,0.115039,3.05625,2.11663,2.99551,11.7675,3.57536,0.0748127,0.882566,2.5707,2.11511,1.44881,2.8963,2.09494,1.55412,2.66289,15.4528,2.17709,4.72404,0.174099,1.25202,1.91229,2.88298,0.745626,0.300247,0.689962,1.11438,0.917172,1.34778,0.154602,1.2191
RASAL1,5.69213,3.40562,19.1377,12.6922,2.32102,2.7003,5.73842,2.48336,3.46013,5.79899,6.12267,1.85518,5.0284,7.29434,1.41629,2.50842,9.8028,5.61343,6.13196,9.34079,4.59492,2.29807,3.05483,2.93969,3.19091,1.08921,4.63546,3.64086,20.1934,12.3307,5.86406,4.33645,2.81953,5.45688,6.07387,3.16856,5.18652,5.97265,3.56465,0.825404
LY96,1.89025,3.25192,0.310637,4.27446,8.57087,2.43308,0.984259,2.50107,1.67607,5.5207,0.601135,7.1133,5.50091,5.89598,10.3927,9.01159,1.12589,9.59263,4.65984,1.45633,7.36228,9.33831,2.14761,4.78088,3.30272,18.1157,1.46934,5.14497,1.07715,5.97856,1.54641,7.6668,7.05089,3.01236,3.34285,5.1726,2.27209,2.49734,6.54913,6.08877
BID,1.37638,1.07512,11.3165,8.71079,3.93762,3.99129,1.68165,0.758809,2.58049,3.16666,1.94345,2.38547,3.43492,1.97322,2.49818,2.93049,2.43381,2.94975,2.21435,4.17539,4.317,2.69599,2.05485,1.11856,4.05821,2.67939,1.58388,2.01505,3.40226,2.36031,0.776517,1.09431,1.87245,1.47683,1.68824,1.03518,2.05508,2.46153,2.96868,1.98849
IRF3,9.95863,10.4463,9.60011,10.7609,10.9111,13.6184,11.6034,7.40586,13.0652,14.0491,10.0599,10.9551,7.72977,16.1821,17.2182,14.7255,17.8496,12.75,7.23564,10.6125,12.8964,8.75015,9.922,9.07712,15.819,13.9524,8.07687,12.1476,16.4275,11.6887,8.5377,7.26672,8.24728,9.10586,16.3097,9.30364,10.0783,13.9062,8.47424,9.40238
CRABP2,127.66,64.3162,146.936,149.309,16.5044,19.8443,94.7204,20.5787,70.6216,51.4243,115.942,51.9934,16.674,18.2798,79.8417,95.3343,386.786,206.962,43.4072,67.6357,35.7424,19.5441,30.2386,12.8205,187.4,32.6158,120.888,54.7817,117.377,78.9331,55.7132,38.6444,68.4983,51.7221,139.571,157.041,13.9891,18.6914,52.7742,26.3482
ANGPT1,0.38124,0.988239,0.0925853,0.594178,0.882114,0.519579,0.349635,0.584861,0.533587,1.12326,0.0286669,1.21738,0.617327,0.575398,0.748695,0.916411,0.939243,1.10342,0.679821,0.481303,2.18629,2.23073,0.569639,2.34984,0.670481,0.633815,0.502365,1.19048,0.309888,1.23328,0.392831,1.3305,1.54502,0.532482,1.25959,1.29956,1.12221,0.967372,1.24505,2.93742
BMP2,1.02209,3.73941,0.088649,1.79747,0.88234,3.08291,0.703018,0.972062,0.309064,2.16339,0.0288206,2.19356,0.518413,1.75555,1.11747,2.36697,0.414125,3.2345,0.77315,0.641218,0.716508,3.38121,0.382799,0.652175,1.42894,0.745418,0.360487,1.30364,0.11465,3.80281,1.44511,2.96366,3.7765,1.37546,1.99069,2.53604,2.63576,1.58008,1.16565,5.01533
IFI16,55.3504,45.73,76.9209,59.5798,88.484,62.6872,20.7166,23.1872,10.342,27.0785,15.6212,67.0532,42.9235,46.8758,43.7901,49.6763,28.527,67.0584,60.0929,17.187,44.6207,55.447,48.0775,30.2106,24.9391,76.2856,41.5873,105.073,17.5509,30.8075,24.0448,51.0788,61.5303,49.6841,23.2243,28.4863,24.7748,21.7374,63.8834,78.4332
PKM,39.3454,22.7005,65.4848,75.9956,64.2703,56.1496,26.6374,14.5019,27.7921,26.2059,52.3267,20.2998,75.2908,41.9864,38.9319,39.6429,36.671,47.3268,60.8473,86.8073,48.4923,29.4136,53.5296,25.0874,116.804,45.637,39.3621,33.566,67.4824,70.0159,47.4951,30.3361,30.4144,34.9612,50.2163,34.3003,32.3468,21.8489,74.8322,27.282
CD86,0.913646,1.91438,0.23773,1.39324,3.23166,2.44598,0.655578,0.827326,0.760508,3.02314,0.288769,5.67757,2.90698,2.6124,2.86188,3.88865,0.729081,3.53943,1.39074,0.79609,1.20022,2.91566,0.9451,1.02302,1.95817,9.4245,1.06122,3.59785,0.72494,2.46621,0.65268,2.85164,2.72586,1.38644,1.69797,1.4639,1.11352,1.37156,2.73938,2.76647
SERPINH1,13.3577,14.6843,13.1788,20.63,18.5299,10.0276,14.6647,4.4773,10.4088,17.1193,6.51815,5.45943,17.197,11.4084,14.5013,20.7716,18.0579,22.6254,10.4274,18.1153,21.6581,11.2743,12.002,8.35484,15.0412,5.29625,26.9711,11.3003,8.89039,21.4068,15.588,13.1177,27.3392,9.72594,34.1266,17.0302,20.706,7.37573,37.9858,9.68954
CASP1,8.70391,6.59374,2.59193,5.75227,10.4996,5.21642,1.53712,1.95492,5.65889,10.0532,1.79188,9.27843,8.67238,4.67619,10.0857,7.93687,2.36141,8.42996,6.35027,2.35631,5.55171,5.8941,4.26774,4.68894,5.19369,15.9454,3.51332,7.16553,4.97447,5.7038,4.23339,7.97018,7.98856,3.77586,3.00088,3.86553,4.29821,2.76446,7.35049,8.01304
CASP8,6.07803,3.28636,2.48614,3.85088,8.07737,4.6898,3.40077,3.08082,2.59748,3.09891,3.45997,4.11504,6.39688,5.97089,6.04306,4.4482,3.51909,3.84393,3.44201,2.73735,4.48773,4.52516,3.5406,2.7797,2.24146,7.46148,1.76252,4.43587,4.31103,3.43307,3.25969,3.97679,3.71475,3.07149,3.83529,4.07104,3.27509,3.31546,3.46642,5.97488
