BB24_06_S10-016752C1,BB24_04_S10-016783A2,BB24_07_S10-017623A2,BB24_01_S10-018931A6,BB24_25_S11-011709,BB24_09_S11-012085C1,BB24_08_S11-003355A1,BB24_26_S12-011538,BB24_10_S12-003590C5,BB24_11_S12-008138A2,BB24_12_S13-003620D2,BB24_14_S13-008160A2,BB24_20_S13-019142C2,BB24_21_S13-021353A4,BB24_18_S13-009885J1,BB24_22_S14-012409D2,BB24_02_S14-002474B2,BB24_15_S16-023867D1,BB24_16_S16-007066C1,BB24_19_S17-018143A2,BB24_03_S21-024801A2,BB24_24_S21-028943A10,BB24_17_S21-032280A2,BB24_23_S22-009274B7
A2M,286.062807447603,817.157616857623,1723.23139030582,686.801220172668,369.29381386438,220.967907646091,657.371023367147,1693.64161410334,920.870980024191,398.593076207403,866.970327981787,400.096144444986,1080.41376402139,589.244408713205,260.615541120293,948.064002114744,558.798939712946,299.534071038369,729.975208086151,325.738162650913,619.132986616757,1085.92070949915,1298.90395255974,945.712926577974
ABCF1,94.0159813256542,114.621436334766,98.5930030016863,105.649703087579,133.489720868028,91.0020378960599,146.384329555156,102.612134101726,88.1149775140356,115.525667219068,154.063809238885,98.7847078794736,102.959235406859,95.5945041247316,126.974667075249,120.721093082222,103.936331525106,208.835885156084,93.7986097456765,161.552255632019,117.586749346682,93.6660426448405,90.6008980670732,87.9072172977108
ACVR1C,2.45427817354951,1.32025293172407,1.14371305048304,0.344609981814923,1.22797842403272,1.54859287799436,1.3424497579308,0.263750180893736,0.420759372517605,0.514777656225663,22.616802676218,0.627315232934769,7.09443966952755,0.695601183463551,0.379913375605713,0.250928969830036,1.53173068107817,0.104555308428792,0.243835975693926,0.950383343159272,34.1540088978441,0.303015748951034,1.83856747405948,0.376047039799614
ADAM12,9.09424415636515,15.4937909145988,33.4325667223984,4.56665444165905,8.7085498281586,5.16010082499075,31.9673797289082,2.30071439241625,21.6948086078096,24.1337672280277,11.9644989522439,1.94793215962716,67.2861206335135,20.0220098512282,21.8071189911103,12.1037619452636,19.128343575695,10.9212478050044,5.04802787971811,25.4251794867383,15.2958821304383,13.4666747716235,123.147377893809,11.8788340515196
ADGRE1,2.39143332874506,0.915605852049993,0.866246494667112,1.43137788616828,0.599330477413683,8.41864435029612,2.67208955040874,0.891700079659885,2.41560810372311,1.49175993144543,7.79042508030523,0.489429085990187,1.7422695329781,0.482030385321504,1.26774962397481,2.1432087779257,1.22292366621729,1.0604577771916,3.11548801671445,1.0163902106097,1.51811906684927,1.47680615596116,1.38131617791041,1.27135903455657
ADM,15.771086898005,6.09304397020199,14.72954775821,10.0876488162,11.5048253717669,3.06293403683738,7.80470013523473,13.3025020022413,14.0376960395026,24.1306166658645,181.51040338046,4.58125119172737,10.4169501312898,15.0741698124792,11.4762913963742,32.5995927289618,15.0242565695463,7.56880923280509,25.2538715221252,3.8937598680691,19.3332358930925,25.0083816168606,18.4247792141271,17.1068637616081
ADORA2A,10.7299073209185,3.16011509689062,3.41222218939609,3.41796143885118,2.12670192268297,1.51283541602627,1.89873550961754,5.00111120483708,4.47430350357465,2.92829407262531,3.53304041478788,3.88518722556634,3.19905211678019,2.22327613288048,2.82104698223776,1.75680045069617,2.46212719144183,1.06141622064385,4.61704064210398,1.34660456352797,1.47604059952752,3.13398931764492,2.57443065999978,2.93993248588614
AKT1,74.1524817053116,92.011484875126,122.374091785828,120.134809733083,123.508271307652,164.161749208591,120.248368173682,124.339591593448,90.8337379591985,145.685030354152,84.2443004589418,85.21880157278,117.422030086644,112.284901842607,95.0325016918558,141.68053817325,101.058912556428,182.679171308901,112.401836324249,136.388730940215,138.890756021298,113.654904549124,115.768991545111,103.212016867423
ALDOA,404.299050188488,752.818266146559,754.085263753528,694.157751413767,1038.69193175557,720.02284800141,880.426119132559,760.888450008481,486.042659115358,856.739200931155,639.610093895429,1552.56546345963,738.854272098848,646.923286415988,1078.41111653771,722.776284945268,654.744546704789,517.540121079967,548.242188358351,846.12746340326,940.756954777361,680.516147084347,720.771977578395,573.030686584096
ALDOC,29.620776533701,25.4096689345062,23.8277512633104,17.4550099221823,24.9792081616557,9.18685300288716,13.6621281871823,27.8924632571383,11.8449065808628,17.5009276721043,31.9253585486606,33.8732670321167,14.2334102736112,22.4786727347604,14.5781662949381,18.614080501956,27.1924186680683,2.64794121230874,23.1879907075691,12.7073244073217,51.0017590126772,28.5124663041123,15.0711461554154,19.6684528680267
