BB24_06_S10-016752C1,BB24_04_S10-016783A2,BB24_07_S10-017623A2,BB24_01_S10-018931A6,BB24_25_S11-011709,BB24_09_S11-012085C1,BB24_08_S11-003355A1,BB24_26_S12-011538,BB24_10_S12-003590C5,BB24_11_S12-008138A2,BB24_12_S13-003620D2,BB24_14_S13-008160A2,BB24_20_S13-019142C2,BB24_21_S13-021353A4,BB24_18_S13-009885J1,BB24_22_S14-012409D2,BB24_02_S14-002474B2,BB24_15_S16-023867D1,BB24_16_S16-007066C1,BB24_19_S17-018143A2,BB24_03_S21-024801A2,BB24_24_S21-028943A10,BB24_17_S21-032280A2,BB24_23_S22-009274B7
A2M,480.993419742136,1331.29476932203,2800.59557953929,1182.90367664065,541.180593918265,374.920538137011,889.51901819078,3121.41470593442,1461.29432368261,670.148545522436,1328.41315891361,660.827588894206,1862.18244349471,1032.86726071442,465.719593680176,1694.52360840365,974.366318286509,516.809047915388,1276.26497451033,460.474400949631,950.508644404078,1703.72096970725,2103.26217457797,1518.15151698879
ABCF1,112.933453189062,143.660265542689,98.2593164588591,135.892524342223,152.410768019397,97.8121730043182,156.699239007491,149.810686265741,116.619512592827,162.833682384154,184.020527554596,132.79167067437,134.243409347407,126.172325898826,137.096463760816,149.512350978723,97.3498945012651,209.699827657651,141.104377547457,220.271314648312,124.630432069599,115.46179868246,108.832347458575,116.372748240855
ACVR1C,0.351990125233378,0.233345061075533,0.189711677207644,0.0838371027482142,0.267297234340475,0.248241782850972,0.280407858494734,0.0133677999419039,0.0869118214212001,0.0939267640265003,4.00670296039181,0.044023255732541,1.21401092093869,0.0367883990895899,0.0840234108830443,0.0321296216413606,0.228147647418023,0.0508726653212475,0.0539278995932532,0.233962829153767,5.85952608079695,0.0167540934414019,0.347891255030198,0.030495048487185
ADAM12,64.7967079318508,112.69110135722,188.025094126127,6.82096623152087,48.8440634889162,24.6250862383057,156.647416191779,7.71207941282498,125.994583653948,124.353881053548,81.7231025213281,9.76833095187297,368.040628168496,127.342594809602,129.886360102663,61.3115464094533,97.0288295017595,47.4102220876148,17.3508084511451,160.017483964222,74.4925944253791,63.942201937323,766.055331411845,58.1923622210884
ADGRE1,5.69285362544117,1.33198851333939,2.30120264452872,3.38981352111946,0.762897753541167,11.3361800507569,6.80269464708225,1.94581695954353,6.55971800611032,4.5573265905658,18.4116371579364,1.06800418407144,5.67747565146462,0.892486561913452,2.03840794802265,4.28705541560674,2.30619246931718,0.617085430346732,4.90609066549621,3.00490847749608,1.13118384127427,3.65808876199569,2.81328061567754,1.84952469074777
ADM,12.7159960705731,6.17932815466729,14.3420783375033,8.67309363885298,8.90166544666122,3.18730460658581,7.0880935459427,11.671254490233,11.0001965492746,21.996468548654,160.400185340035,4.10385862670377,8.08122412901771,12.6721381565031,10.5072574640343,29.2573177805316,13.8760596560603,6.4195391535602,20.4152226380536,3.09784379123308,16.2203493641016,19.4275254464001,15.2547683672433,13.3124176428705
ADORA2A,12.7683184729771,3.82496701465704,3.82238051878363,4.00822544726963,2.51292334358999,1.67553336898856,2.50099067907436,5.80677358422338,5.65902313509758,3.59248717724781,4.34495610593193,4.5702881750805,3.95601132808979,2.41212584300933,3.50064428010647,2.10666113789029,2.80482867889928,1.25084884529743,5.13813549426968,1.69195297156311,2.03816908337707,3.50154892758596,2.98707401278503,3.12419711274961
AKT1,15.0323876409599,19.1791449497611,20.5885791122793,23.1252888859221,27.8354585751507,28.6243828751346,22.8235794310309,22.3052643079082,17.0302890586009,31.4298385556262,16.5786492143581,13.3376105000534,21.5286384500435,20.3367161591649,19.8521556913669,27.5682035113574,22.1807141503759,33.5572552290138,20.1181723468624,27.6313423218031,27.6207051643858,20.0007338338379,18.2033601280693,18.4090621595398
ALDOA,389.461692359727,700.873402522952,730.609100481302,698.797328829982,1010.91490859556,698.989758070384,757.770519743573,818.704408471973,475.033220939383,802.485769208325,603.590057956064,1543.11829836884,741.592206203537,653.755225638776,1039.14492132894,726.242283754149,663.691200359621,514.034602551675,534.240307645931,824.27133730525,924.619835476364,636.189349912294,682.669308067432,520.644855632633
ALDOC,77.5083357454432,85.3598272632992,75.6263779892068,50.1310450306399,70.9172559629817,25.446530923794,41.1430579318148,74.9093852969811,38.9359519477373,44.9313889210712,95.7191575526519,100.78349342646,40.4820006838587,54.0520030454626,48.806950868148,61.4788996860377,85.7513819577093,5.64937365810389,70.9425316888653,44.2036614842929,142.327356554698,84.153215651544,35.095251141249,58.3512015109156
