From	To	Weight
EGR1	FCF1P2	0.371436968770325
EIF3J-DT	FCF1P2	0.431544261802269
ELOA-AS1	FCF1P2	0.447462966859447
ENO1	FCF1P2	0.359132038787447
ERVK3-1	FCF1P2	0.413198412180229
ESYT3	FCF1P2	0.332127331581931
ALDOC	FGD5-AS1	0.35725949244291
ARPP19	FGD5-AS1	0.449393138648264
BAZ2B-AS1	FGD5-AS1	0.446462586969713
CERS6-AS1	FGD5-AS1	0.449437586008852
CHASERR	FGD5-AS1	0.449512638803251
CIZ1	FGD5-AS1	0.447443698255577
CLK2	FGD5-AS1	0.436668702031578
DKFZP586I1420	FGD5-AS1	0.446817813163229
DLEU1	FGD5-AS1	0.450139868448416
DLEU2	FGD5-AS1	0.447914223267996
EBLN3P	FGD5-AS1	0.4499059318879
EGR1	FGD5-AS1	0.422265348989405
EIF3J-DT	FGD5-AS1	0.447447508891355
ELOA-AS1	FGD5-AS1	0.449776678085329
ENO1	FGD5-AS1	0.415531290125807
ERVK3-1	FGD5-AS1	0.445770872912372
ESYT3	FGD5-AS1	0.388421559263592
FCF1P2	FGD5-AS1	0.449608986019845
ALDOC	GABPB1-AS1	0.334806892022665
ARPP19	GABPB1-AS1	0.428044855177646
BAZ2B-AS1	GABPB1-AS1	0.442868543374391
CERS6-AS1	GABPB1-AS1	0.438579416174374
CHASERR	GABPB1-AS1	0.437602258295451
CIZ1	GABPB1-AS1	0.428232300828594
CLK2	GABPB1-AS1	0.416016250641539
DKFZP586I1420	GABPB1-AS1	0.441033096737917
DLEU1	GABPB1-AS1	0.437713488988064
DLEU2	GABPB1-AS1	0.441174804333135
EBLN3P	GABPB1-AS1	0.439386465403007
EGR1	GABPB1-AS1	0.41159128032533
EIF3J-DT	GABPB1-AS1	0.443246197297639
ELOA-AS1	GABPB1-AS1	0.443278166104569
ENO1	GABPB1-AS1	0.402330027059116
ERVK3-1	GABPB1-AS1	0.439920376187775
ESYT3	GABPB1-AS1	0.383297428965792
FCF1P2	GABPB1-AS1	0.428853464147116
FGD5-AS1	GABPB1-AS1	0.445206888912509
ALDOC	GABPB1-IT1	0.335198216121696
ARPP19	GABPB1-IT1	0.445996247223616
BAZ2B-AS1	GABPB1-IT1	0.452825938259255
CERS6-AS1	GABPB1-IT1	0.452729451768499
CHASERR	GABPB1-IT1	0.453272258372106
CIZ1	GABPB1-IT1	0.447073315862066
CLK2	GABPB1-IT1	0.439511333353746
DKFZP586I1420	GABPB1-IT1	0.455007369986027
DLEU1	GABPB1-IT1	0.453008069987834
DLEU2	GABPB1-IT1	0.450113610950585
EBLN3P	GABPB1-IT1	0.451629683642607
EGR1	GABPB1-IT1	0.411922847651808
EIF3J-DT	GABPB1-IT1	0.453552065860023
ELOA-AS1	GABPB1-IT1	0.451245405833741
ENO1	GABPB1-IT1	0.396027158724851
ERVK3-1	GABPB1-IT1	0.446440502208209
ESYT3	GABPB1-IT1	0.389295788986751
FCF1P2	GABPB1-IT1	0.446725698734165
