Gene	Post	Pre	Post_Pre	Label	Funct_Annot
FAM78A	0.137142968660193	0.0926128671469735	0.0445301015132192	Post_Only	Immune Checkpoint
FANCE	0.0153148816875937	0.107497711460312	-0.0921828297727185	Pre_Only	None
FAS	0	0.100304727672904	0	None	Apoptosis
FASLG	0.122569141284642	0.142619149167315	-0.020050007882673	None	None
FBXL5	0	0.116371267157321	0	None	None
FCAR	0.0587100917219722	0.113326318256736	-0.0546162265347641	None	None
FCER1G	0.0960670331150432	0.155234974190807	-0.0591679410757643	None	None
FCGR1CP	0.0604036570323806	0.107221295099381	-0.0468176380670008	None	None
FCGR2A	0.096356367225393	0.12619084907136	-0.0298344818459671	None	None
FCGR2B	0.104208092403294	0.131383474494618	-0.0271753820913241	None	None
FCGR3A	0.0796184083558314	0.144594502324307	-0.0649760939684759	None	None
FCGR3B	0.0642117783606335	0.126891658545606	-0.0626798801849729	None	None
FCN1	0.102195973764217	0.112850984703111	-0.0106550109388936	None	None
FCRL1	0.061297163729146	0.101556993664566	-0.0402598299354203	None	None
FCRL2	0.0611797454864352	0.126335826022341	-0.0651560805359059	None	None
FCRL3	0.0873074068073543	0.124822201478976	-0.0375147946716214	None	None
FCRL4	0.0618845431237581	0.108522259648686	-0.0466377165249279	None	None
FCRL5	0.0798676999872096	0.102587380112368	-0.0227196801251589	None	None
FCRL6	0.0994221369707046	0.115537656061563	-0.0161155190908589	None	None
FFAR4	0.0442905193318934	0.104221574233118	-0.0599310549012246	None	None
FGL2	0.136135501991274	0.175498648685891	-0.0393631466946162	None	Immune Checkpoint
FLI1	0.101492605265734	0.150092388908794	-0.0485997836430596	None	None
FOLR2	0.111843378739104	0.0981820173008312	0.0136613614382724	None	None
FOXN3	0	0.10931346714672	0	None	None
FPR1	0.0759279106946269	0.12056070886144	-0.0446327981668132	None	None
FPR3	0.101275173898934	0.146922546594827	-0.0456473726958933	None	None
FYB1	0.0818446864877092	0.135516089502047	-0.0536714030143377	None	None
GAB3	0.110855871355605	0.115630789045592	-0.00477491768998706	Shared	None
GALC	0.0446158147882191	0.113898701754158	-0.0692828869659388	None	None
GAPT	0.100668099854128	0.130488138787978	-0.0298200389338501	None	None
GASK1B	0.073866188585228	0.11988774764543	-0.0460215590602025	None	None
GBP1	0.0775693703206367	0.146102546333607	-0.0685331760129708	None	None
GBP1P1	0	0.133803993515376	0	Pre_Only	Innate IFN Response
GBP2	0	0.141788673104198	0	Pre_Only	None
GBP5	0.103665381192992	0.143796931610255	-0.0401315504172632	None	None
GFI1	0.124819438196326	0.065521754212559	0.0592976839837668	Post_Only	NK/T Receptor Signaling
GIMAP1	0.131357441706681	0.13647422618229	-0.00511678447560837	Shared	Apoptosis
GIMAP1-GIMAP5	0.142427713350419	0.16228199675948	-0.019854283409061	Shared	Apoptosis
GIMAP2	0.13256628628493	0.174413032649862	-0.0418467463649315	None	Apoptosis
GIMAP4	0.143300920889643	0.178193148936308	-0.0348922280466644	None	Apoptosis
GIMAP5	0.142947431550612	0.166825888746788	-0.0238784571961762	None	Apoptosis
GIMAP6	0	0.132276978176272	0	Pre_Only	Apoptosis
GIMAP7	0.127861311863978	0.136829887105832	-0.00896857524185382	Shared	Apoptosis
GIMAP8	0.142569693502645	0.167427533741863	-0.0248578402392175	None	Apoptosis
GLIPR1	0.0410642078966282	0.119333489752459	-0.0782692818558311	None	None
GLRX	0.0462896858476254	0.158023218276963	-0.111733532429337	Pre_Only	None
GMFG	0.148295006784764	0.159598236249112	-0.0113032294643485	Shared	Immune Cell Infiltration
GNG2	0	0.124484834643477	0	Pre_Only	None
GNGT2	0.107149053458985	0.124585670070902	-0.0174366166119165	None	None
GNLY	0.0910504494866615	0.132223420910087	-0.0411729714234257	None	None
GPNMB	0.0540852725451202	0.105577944287427	-0.0514926717423071	None	None
GPR141	0.0758143931482853	0.114824601667134	-0.0390102085188482	None	None
GPR171	0.112316527133529	0.114941960602439	-0.00262543346890982	Shared	None
GPR174	0.148762544681797	0.170319315255133	-0.0215567705733362	None	None
GPR183	0.0813881648237911	0.124132308510116	-0.0427441436863252	None	None
GPR65	0.116634435633201	0.159335387296514	-0.042700951663313	None	None
GPRIN3	0.119504145091473	0.147910307705574	-0.028406162614101	None	None
GRAP2	0.13200732689069	0.123482567890074	0.00852475900061615	Shared	NK/T Receptor Signaling
GRK3	0.106012794619559	0.0865007752235412	0.0195120193960175	None	None
GTDC1	0	0.102970252559834	0	None	None
GTPBP3	0.0384151708640119	0.1090682854595	-0.0706531145954881	None	None
GZMA	0.138431077001873	0.154867614856258	-0.0164365378543853	Shared	Apoptosis
GZMB	0.106235705807059	0.141902214449332	-0.0356665086422735	None	None
GZMH	0.123619430625813	0.116908110763519	0.0067113198622946	Shared	Apoptosis
GZMK	0.145245977391081	0.138002926729226	0.00724305066185491	Shared	Apoptosis
H1-10	0.0326292922692454	0.105598883388636	-0.0729695911193901	None	None
H2AC12	0.0565429420527519	0.112881681540689	-0.0563387394879375	None	None
H2AC13	0.0642314062539674	0.10003919087253	-0.0358077846185625	None	None
H2AC25	0.0357921435313781	0.110744511119358	-0.0749523675879797	None	None
H2AX	0.0377574936040818	0.103076493252376	-0.0653189996482942	None	None
H2BC12	0.0369253091440572	0.102864746140051	-0.0659394369959936	None	None
H2BC13	0.0595456363335264	0.11201777372556	-0.0524721373920339	None	None
