To	From	Weight
CYSLTR1	GBP4	0.125530440103885
CYSLTR2	GBP4	0.110286114872429
CYTH4	GBP4	0.120130349556402
CYTIP	GBP4	0.166840133112713
DAB2	GBP4	0.120836616318234
DCANP1	GBP4	0.11636929041795
DDX60L	GBP4	0.119661959586049
DNAJC5B	GBP4	0.113439338059908
DOCK2	GBP4	0.15766453204356
DOK2	GBP4	0.0785961077511515
DPYD	GBP4	0.136850773660965
DTHD1	GBP4	0.102901183709757
DTX3L	GBP4	0.100958116196365
DVL1	GBP4	0.104482871225606
ELK3	GBP4	0.130503585070748
ELL2	GBP4	0.111215921456865
EMCN	GBP4	0.0840445214943866
EOMES	GBP4	0.125432631688749
EPSTI1	GBP4	0.132446205213023
ERAP1	GBP4	0.100531738438395
ETS1	GBP4	0.104850802047051
EVI2A	GBP4	0.160548395927738
F13A1	GBP4	0.112032931960689
FAM20A	GBP4	0.111375526275243
FAM78A	GBP4	0.0926128671469735
FANCE	GBP4	0.107497711460312
FAS	GBP4	0.100304727672904
FASLG	GBP4	0.142619149167315
FBXL5	GBP4	0.116371267157321
FCAR	GBP4	0.113326318256736
FCER1G	GBP4	0.155234974190807
FCGR1CP	GBP4	0.107221295099381
FCGR2A	GBP4	0.12619084907136
FCGR2B	GBP4	0.131383474494618
FCGR3A	GBP4	0.144594502324307
FCGR3B	GBP4	0.126891658545606
FCN1	GBP4	0.112850984703111
FCRL1	GBP4	0.101556993664566
FCRL2	GBP4	0.126335826022341
FCRL3	GBP4	0.124822201478976
FCRL4	GBP4	0.108522259648686
FCRL5	GBP4	0.102587380112368
FCRL6	GBP4	0.115537656061563
FFAR4	GBP4	0.104221574233118
FGL2	GBP4	0.175498648685891
FLI1	GBP4	0.150092388908794
FOLR2	GBP4	0.0981820173008312
FOXN3	GBP4	0.10931346714672
FPR1	GBP4	0.12056070886144
FPR3	GBP4	0.146922546594827
FYB1	GBP4	0.135516089502047
GAB3	GBP4	0.115630789045592
GALC	GBP4	0.113898701754158
GAPT	GBP4	0.130488138787978
GASK1B	GBP4	0.11988774764543
GBP1	GBP4	0.146102546333607
GBP1P1	GBP4	0.133803993515376
GBP2	GBP4	0.141788673104198
GBP5	GBP4	0.143796931610255
GFI1	GBP4	0.065521754212559
GIMAP1	GBP4	0.13647422618229
GIMAP1-GIMAP5	GBP4	0.16228199675948
GIMAP2	GBP4	0.174413032649862
GIMAP4	GBP4	0.178193148936308
GIMAP5	GBP4	0.166825888746788
GIMAP6	GBP4	0.132276978176272
GIMAP7	GBP4	0.136829887105832
GIMAP8	GBP4	0.167427533741863
GLIPR1	GBP4	0.119333489752459
GLRX	GBP4	0.158023218276963
GMFG	GBP4	0.159598236249112
GNG2	GBP4	0.124484834643477
GNGT2	GBP4	0.124585670070902
GNLY	GBP4	0.132223420910087
GPNMB	GBP4	0.105577944287427
GPR141	GBP4	0.114824601667134
GPR171	GBP4	0.114941960602439
GPR174	GBP4	0.170319315255133
GPR183	GBP4	0.124132308510116
GPR65	GBP4	0.159335387296514
GPRIN3	GBP4	0.147910307705574
GRAP2	GBP4	0.123482567890074
GRK3	GBP4	0.0865007752235412
GTDC1	GBP4	0.102970252559834
GTPBP3	GBP4	0.1090682854595
GZMA	GBP4	0.154867614856258
GZMB	GBP4	0.141902214449332
GZMH	GBP4	0.116908110763519
GZMK	GBP4	0.138002926729226
H1-10	GBP4	0.105598883388636
H2AC12	GBP4	0.112881681540689
H2AC13	GBP4	0.10003919087253
H2AC25	GBP4	0.110744511119358
H2AX	GBP4	0.103076493252376
H2BC12	GBP4	0.102864746140051
H2BC13	GBP4	0.11201777372556
H2BC17	GBP4	0.102008743754786
H3C13	GBP4	0.103579729644034
H3C15	GBP4	0.108085622923483
H4C11	GBP4	0.102782066917203
HACD4	GBP4	0.108795387977572
HAVCR2	GBP4	0.148671165673681
HCLS1	GBP4	0.103739338761822
HCST	GBP4	0.0755191286750306
HERC6	GBP4	0.109693846008392
HFE	GBP4	0.109510196851527
HGF	GBP4	0.110858490427601
HLA-B	GBP4	0.123952566385434
HLA-C	GBP4	0.106240375876894
HLA-DMA	GBP4	0.115038735713512
HLA-DMB	GBP4	0.115556542964049
HLA-DOA	GBP4	0
HLA-DOB	GBP4	0.112491347773154
HLA-DPA1	GBP4	0.126981245276852
HLA-DPB1	GBP4	0.140653390294414
HLA-DQA1	GBP4	0.137368114825481
HLA-DQA1-AS1	GBP4	0.114574310285766
HLA-DRA	GBP4	0.161186396450034
HLA-DRB1	GBP4	0.138405969472474
HLA-DRB5	GBP4	0.119290587904163
HLA-DRB6	GBP4	0.134826249123207
HLA-L	GBP4	0.104313457631965
HNMT	GBP4	0.150001401441261
HSH2D	GBP4	0.102357770449952
ICAM1	GBP4	0.114958008010331
ICOS	GBP4	0.153033369051002
IDO1	GBP4	0.120129982698064
IFI16	GBP4	0.118436316649995
IFI27	GBP4	0.101438509229972
IFI30	GBP4	0.121723728428504
IFI35	GBP4	0.123283100900844
IFI44	GBP4	0.100063740673774
IFI44L	GBP4	0.124787955487494
IFIH1	GBP4	0.109867774289571
IFIT2	GBP4	0.118082545842769
IFIT3	GBP4	0.113735669977399
