From	To	Weight
C2orf74-AS1	CENPBD2P	0.377771614980934
CAMSAP1-DT	CENPBD2P	0.410250094347492
CD63-AS1	CENPBD2P	0.396511931608265
AATBC	CERS6-AS1	0.396423483843922
AFG3L1P	CERS6-AS1	0.410056158632218
ALDOC	CERS6-AS1	0.295786891198678
ARL5A	CERS6-AS1	0.390971416414047
ARPP19	CERS6-AS1	0.410513309006992
ARRDC1-AS1	CERS6-AS1	0.395162409363638
ARRDC3-AS1	CERS6-AS1	0.397791726643346
B3GALT6	CERS6-AS1	0.397537208145401
B3GALT9	CERS6-AS1	0.411970885296165
BAIAP2-DT	CERS6-AS1	0.406452755205144
BAZ2B-AS1	CERS6-AS1	0.41165621001918
BCL9L	CERS6-AS1	0.383872799114678
BICRA	CERS6-AS1	0.397963788000435
C2orf74-AS1	CERS6-AS1	0.386013470614446
CAMSAP1-DT	CERS6-AS1	0.411976998029456
CD63-AS1	CERS6-AS1	0.406172953821827
CENPBD2P	CERS6-AS1	0.397563873508458
AATBC	CGGBP1	0.27559078875154
AFG3L1P	CGGBP1	0.358793830348955
ALDOC	CGGBP1	0.179970648449888
ARL5A	CGGBP1	0.27870907705401
ARPP19	CGGBP1	0.368624056072428
ARRDC1-AS1	CGGBP1	0.284932900018471
ARRDC3-AS1	CGGBP1	0.287820072361237
B3GALT6	CGGBP1	0.263391788747506
B3GALT9	CGGBP1	0.378795894723869
BAIAP2-DT	CGGBP1	0.336371641986523
BAZ2B-AS1	CGGBP1	0.376047461095407
BCL9L	CGGBP1	0.268511145769438
BICRA	CGGBP1	0.307983311235232
C2orf74-AS1	CGGBP1	0.244319664256164
CAMSAP1-DT	CGGBP1	0.370818322371009
CD63-AS1	CGGBP1	0.332175491163111
CENPBD2P	CGGBP1	0.292402672345946
CERS6-AS1	CGGBP1	0.39140401884124
AATBC	CHASERR	0.395713849588793
AFG3L1P	CHASERR	0.409647654244967
ALDOC	CHASERR	0.300165488121957
ARL5A	CHASERR	0.394227491073929
ARPP19	CHASERR	0.413496551923296
ARRDC1-AS1	CHASERR	0.394230893102602
ARRDC3-AS1	CHASERR	0.39819216663593
B3GALT6	CHASERR	0.395102656397195
B3GALT9	CHASERR	0.413019922961973
BAIAP2-DT	CHASERR	0.406975173094447
BAZ2B-AS1	CHASERR	0.41252715389301
BCL9L	CHASERR	0.386308276340797
BICRA	CHASERR	0.398854550844099
C2orf74-AS1	CHASERR	0.385549729867223
CAMSAP1-DT	CHASERR	0.411312445553154
CD63-AS1	CHASERR	0.406317731808679
CENPBD2P	CHASERR	0.397726730228555
CERS6-AS1	CHASERR	0.414191540938559
CGGBP1	CHASERR	0.394649622685252
AATBC	CHROMR	0.40202949624248
AFG3L1P	CHROMR	0.413881427576195
ALDOC	CHROMR	0.285518504991958
ARL5A	CHROMR	0.384620259217107
ARPP19	CHROMR	0.40404730191884
ARRDC1-AS1	CHROMR	0.395969280731003
ARRDC3-AS1	CHROMR	0.401914044858125
B3GALT6	CHROMR	0.394236339003994
B3GALT9	CHROMR	0.407470803947842
BAIAP2-DT	CHROMR	0.406824440972354
BAZ2B-AS1	CHROMR	0.413312624430896
BCL9L	CHROMR	0.370245986330272
BICRA	CHROMR	0.383765589932257
C2orf74-AS1	CHROMR	0.393237291773034
CAMSAP1-DT	CHROMR	0.412639069656717
CD63-AS1	CHROMR	0.406231566095121
CENPBD2P	CHROMR	0.398200806464652
CERS6-AS1	CHROMR	0.411302779341379
CGGBP1	CHROMR	0.38047437916258
CHASERR	CHROMR	0.412243371985633
AATBC	CLK2	0.303552934543246
AFG3L1P	CLK2	0.384362745809657
ALDOC	CLK2	0.169090961610771
ARL5A	CLK2	0.263740238959316
ARPP19	CLK2	0.368158961003062
ARRDC1-AS1	CLK2	0.317893275452617
ARRDC3-AS1	CLK2	0.319223454257053
B3GALT6	CLK2	0.290142741577673
B3GALT9	CLK2	0.377343180485294
BAIAP2-DT	CLK2	0.368890109407429
BAZ2B-AS1	CLK2	0.390167345271114
BCL9L	CLK2	0.237595836885162
BICRA	CLK2	0.290170458350307
C2orf74-AS1	CLK2	0.276939038350413
CAMSAP1-DT	CLK2	0.384815378330804
CD63-AS1	CLK2	0.36143059343638
CENPBD2P	CLK2	0.330588418276718
CERS6-AS1	CLK2	0.400003381112784
CGGBP1	CLK2	0.247571888587581
CHASERR	CLK2	0.405108054168521
CHROMR	CLK2	0.395027746138467
AATBC	CLUHP3	0.405143915807164
AFG3L1P	CLUHP3	0.421129000772516
ALDOC	CLUHP3	0.271707124822972
ARL5A	CLUHP3	0.333362286572696
ARPP19	CLUHP3	0.37260206120613
ARRDC1-AS1	CLUHP3	0.403668237985879
ARRDC3-AS1	CLUHP3	0.404704252034463
B3GALT6	CLUHP3	0.400424044933197
B3GALT9	CLUHP3	0.378211038700946
BAIAP2-DT	CLUHP3	0.399055994455184
BAZ2B-AS1	CLUHP3	0.412045750977618
BCL9L	CLUHP3	0.323424522004537
BICRA	CLUHP3	0.344409323761283
C2orf74-AS1	CLUHP3	0.403712287177705
CAMSAP1-DT	CLUHP3	0.417725965503527
CD63-AS1	CLUHP3	0.39839988705534
CENPBD2P	CLUHP3	0.400330625761914
CERS6-AS1	CLUHP3	0.405094296027086
CGGBP1	CLUHP3	0.332859531281202
CHASERR	CLUHP3	0.404635372338766
CHROMR	CLUHP3	0.406440383416701
CLK2	CLUHP3	0.354810136691369
AATBC	COX10-DT	0.417654193087422
AFG3L1P	COX10-DT	0.421577701609907
ALDOC	COX10-DT	0.295178429030195
ARL5A	COX10-DT	0.354738342198374
ARPP19	COX10-DT	0.391639478079817
ARRDC1-AS1	COX10-DT	0.417074812981937
ARRDC3-AS1	COX10-DT	0.420225498471158
B3GALT6	COX10-DT	0.414084454757473
B3GALT9	COX10-DT	0.395393123282813
BAIAP2-DT	COX10-DT	0.417651414092624
BAZ2B-AS1	COX10-DT	0.413021144731468
BCL9L	COX10-DT	0.340429608867304
BICRA	COX10-DT	0.362206830625502
C2orf74-AS1	COX10-DT	0.416676029854136
CAMSAP1-DT	COX10-DT	0.415352789668296
CD63-AS1	COX10-DT	0.416903221128297
CENPBD2P	COX10-DT	0.418024647020444
CERS6-AS1	COX10-DT	0.40654679674247
CGGBP1	COX10-DT	0.351002786443841
CHASERR	COX10-DT	0.406977444026456
CHROMR	COX10-DT	0.409167730533905
CLK2	COX10-DT	0.38116027376506
CLUHP3	COX10-DT	0.41696905576065
AATBC	CRIPT	0.28690169070879
AFG3L1P	CRIPT	0.36534518382892
ALDOC	CRIPT	0.191203147844819
ARL5A	CRIPT	0.288803504130777
ARPP19	CRIPT	0.362201865935298
ARRDC1-AS1	CRIPT	0.294704356520438
ARRDC3-AS1	CRIPT	0.29462651147176
B3GALT6	CRIPT	0.271280718128171
B3GALT9	CRIPT	0.377491652959775
BAIAP2-DT	CRIPT	0.339714089358693
BAZ2B-AS1	CRIPT	0.380102576888285
BCL9L	CRIPT	0.295303606351085
BICRA	CRIPT	0.30094337792957
C2orf74-AS1	CRIPT	0.255624950781498
CAMSAP1-DT	CRIPT	0.379750224258222
CD63-AS1	CRIPT	0.336079128399077
CENPBD2P	CRIPT	0.29795928482054
CERS6-AS1	CRIPT	0.393073222021526
CGGBP1	CRIPT	0.29690020439722
CHASERR	CRIPT	0.393967293979554
CHROMR	CRIPT	0.383401381084679
CLK2	CRIPT	0.268276963542272
CLUHP3	CRIPT	0.344240360272796
COX10-DT	CRIPT	0.356896201565317
AATBC	CTBP1-DT	0.397606008119222
AFG3L1P	CTBP1-DT	0.422034449697287
ALDOC	CTBP1-DT	0.277325507146256
ARL5A	CTBP1-DT	0.340952898283862
ARPP19	CTBP1-DT	0.374858066008484
ARRDC1-AS1	CTBP1-DT	0.398488488937921
ARRDC3-AS1	CTBP1-DT	0.400574650693241
B3GALT6	CTBP1-DT	0.395688046892706
B3GALT9	CTBP1-DT	0.379349290563716
BAIAP2-DT	CTBP1-DT	0.401936302552793
BAZ2B-AS1	CTBP1-DT	0.413998141699598
BCL9L	CTBP1-DT	0.325208117246658
BICRA	CTBP1-DT	0.346764004062219
C2orf74-AS1	CTBP1-DT	0.397297988626099
CAMSAP1-DT	CTBP1-DT	0.415340851308486
CD63-AS1	CTBP1-DT	0.399267580223094
CENPBD2P	CTBP1-DT	0.399166788873468
CERS6-AS1	CTBP1-DT	0.407272052580931
CGGBP1	CTBP1-DT	0.335787094783115
CHASERR	CTBP1-DT	0.407864883531803
CHROMR	CTBP1-DT	0.410554072795338
CLK2	CTBP1-DT	0.366981578322668
CLUHP3	CTBP1-DT	0.399164962366202
COX10-DT	CTBP1-DT	0.417638434056606
CRIPT	CTBP1-DT	0.34021864469263
AATBC	DDX11	0.266614077535407
AFG3L1P	DDX11	0.250453433063653
ARPP19	DDX11	0.148459335403013
ARRDC1-AS1	DDX11	0.300895609647589
