From	To	Weight
ALDOC	LCDR	0.331223954102163
CLK2	LCDR	0.415035735828811
EGR1	LCDR	0.406105860456959
ENO1	LCDR	0.39100726947435
ESYT3	LCDR	0.354402707409456
ID4	LCDR	0.424284565637561
ALDOC	LIMD1-AS1	0.354478074863135
CLK2	LIMD1-AS1	0.434708772692083
EGR1	LIMD1-AS1	0.416309360051131
ENO1	LIMD1-AS1	0.40806736998535
ESYT3	LIMD1-AS1	0.387877796236612
ID4	LIMD1-AS1	0.42877929151304
ALDOC	LYRM2	0.307310957592097
CLK2	LYRM2	0.380147642095768
EGR1	LYRM2	0.364726318131076
ENO1	LYRM2	0.355553511736765
ESYT3	LYRM2	0.314235629906701
ID4	LYRM2	0.378247257081146
ALDOC	MIR10393	0.317725930724816
CLK2	MIR10393	0.421770448476117
EGR1	MIR10393	0.379497004392944
ENO1	MIR10393	0.363228152385839
ESYT3	MIR10393	0.358564031931462
ID4	MIR10393	0.408956726200919
ALDOC	MIR12127	0.333167823643004
CLK2	MIR12127	0.423850800789005
EGR1	MIR12127	0.391509255918939
ENO1	MIR12127	0.376378922310207
ESYT3	MIR12127	0.366114367637352
ID4	MIR12127	0.410661050550702
ALDOC	MIR3916	0.302040676018162
CLK2	MIR3916	0.396634324990461
EGR1	MIR3916	0.370281138039663
ENO1	MIR3916	0.355170635801287
ESYT3	MIR3916	0.332153826350934
ID4	MIR3916	0.396139881200091
ALDOC	MIR4453HG	0.313999486094064
CLK2	MIR4453HG	0.41695771667792
EGR1	MIR4453HG	0.397671330460365
ENO1	MIR4453HG	0.378486078525939
ESYT3	MIR4453HG	0.353831333264375
ID4	MIR4453HG	0.424914586883774
ALDOC	MLF1-DT	0.342390969331221
CLK2	MLF1-DT	0.399077353480237
EGR1	MLF1-DT	0.395252271428142
ENO1	MLF1-DT	0.389645312884966
ESYT3	MLF1-DT	0.344767871571086
ID4	MLF1-DT	0.394285522977685
ALDOC	MTPN	0.272053144744453
CLK2	MTPN	0.335291810540261
EGR1	MTPN	0.311266739334667
ENO1	MTPN	0.301212279261998
ESYT3	MTPN	0.264018648140654
ID4	MTPN	0.325799326433339
ALDOC	N4BP2L2-IT2	0.306864408793384
CLK2	N4BP2L2-IT2	0.423430182628148
EGR1	N4BP2L2-IT2	0.378033878156606
ENO1	N4BP2L2-IT2	0.350060447043542
ESYT3	N4BP2L2-IT2	0.347714224041577
ID4	N4BP2L2-IT2	0.413847322080823
ALDOC	NIPBL-DT	0.342203906755944
CLK2	NIPBL-DT	0.418959691284439
EGR1	NIPBL-DT	0.417932711209872
ENO1	NIPBL-DT	0.406605503229704
ESYT3	NIPBL-DT	0.378149059151257
ID4	NIPBL-DT	0.431131218092401
ALDOC	NNT-AS1	0.342515589907456
CLK2	NNT-AS1	0.404922872358944
EGR1	NNT-AS1	0.403460601745466
ENO1	NNT-AS1	0.399495831571586
ESYT3	NNT-AS1	0.369826800759718
ID4	NNT-AS1	0.406065216901744
ALDOC	NORAD	0.355236832987543
CLK2	NORAD	0.433971505712051
EGR1	NORAD	0.425047257137229
ENO1	NORAD	0.417327116726365
ESYT3	NORAD	0.3932763279357
ID4	NORAD	0.4334056997798
ALDOC	NRAV	0.343126822804721
CLK2	NRAV	0.417722205825182
EGR1	NRAV	0.412783770141904
ENO1	NRAV	0.403615107121203
ESYT3	NRAV	0.36417353780643
ID4	NRAV	0.418751122208614
ALDOC	OIP5-AS1	0.351108065747707
CLK2	OIP5-AS1	0.439982592898064
EGR1	OIP5-AS1	0.417388800005814
ENO1	OIP5-AS1	0.405035688173264
ESYT3	OIP5-AS1	0.383763364536654
ID4	OIP5-AS1	0.432594080729921
ALDOC	OSER1-DT	0.341543608724968
CLK2	OSER1-DT	0.405369093649011
EGR1	OSER1-DT	0.408243979957244
ENO1	OSER1-DT	0.403801027198602
ESYT3	OSER1-DT	0.357541935756107
ID4	OSER1-DT	0.408903651684395
ALDOC	OTUD6B-AS1	0.332127581738228
CLK2	OTUD6B-AS1	0.416982273658549
EGR1	OTUD6B-AS1	0.392876784980042
ENO1	OTUD6B-AS1	0.380654052421924
ESYT3	OTUD6B-AS1	0.345801531000244
ID4	OTUD6B-AS1	0.406560946189405
ALDOC	PDCD6IP-DT	0.320255214947779
CLK2	PDCD6IP-DT	0.397128415324237
EGR1	PDCD6IP-DT	0.376450012050544
ENO1	PDCD6IP-DT	0.367180098327978
ESYT3	PDCD6IP-DT	0.32756434331316
ID4	PDCD6IP-DT	0.389106090425938
ALDOC	PNISR-AS1	0.330904950933736
CLK2	PNISR-AS1	0.424201963483202
EGR1	PNISR-AS1	0.408625557170981
ENO1	PNISR-AS1	0.392465984221321
ESYT3	PNISR-AS1	0.36864719449156
ID4	PNISR-AS1	0.429876504942764
ALDOC	POLR1HASP	0.31857042164052
CLK2	POLR1HASP	0.415395653988183
EGR1	POLR1HASP	0.398729620805305
ENO1	POLR1HASP	0.378188431447266
ESYT3	POLR1HASP	0.357520556621543
ID4	POLR1HASP	0.425328239297301
ALDOC	PSMA3-AS1	0.351564611488915
CLK2	PSMA3-AS1	0.444455800419128
EGR1	PSMA3-AS1	0.422756769098338
ENO1	PSMA3-AS1	0.407238935047722
ESYT3	PSMA3-AS1	0.387505186352337
ID4	PSMA3-AS1	0.4456854337525
ALDOC	RAB33B-AS1	0.319882554902821
CLK2	RAB33B-AS1	0.420379001316641
EGR1	RAB33B-AS1	0.404115030583853
ENO1	RAB33B-AS1	0.386267972563541
ESYT3	RAB33B-AS1	0.364394817771814
ID4	RAB33B-AS1	0.428341384771391
ALDOC	RCC2-AS1	0.351702781795915
CLK2	RCC2-AS1	0.410448075875147
EGR1	RCC2-AS1	0.420435471011953
ENO1	RCC2-AS1	0.418632569030591
ESYT3	RCC2-AS1	0.379850426500351
ID4	RCC2-AS1	0.415891344933116
ALDOC	RIPK2-DT	0.328447585970804
CLK2	RIPK2-DT	0.424614093934315
EGR1	RIPK2-DT	0.393231183161132
ENO1	RIPK2-DT	0.376752494292544
ESYT3	RIPK2-DT	0.362352907118832
